,region,geometry
1334,1335,"POLYGON ((-73.9666884 40.7813188, -73.9666884 40.789707, -73.9555768 40.789707, -73.9555768 40.7813188, -73.9666884 40.7813188))"
1335,1336,"POLYGON ((-73.9666884 40.789707, -73.9666884 40.7980952, -73.9555768 40.7980952, -73.9555768 40.789707, -73.9666884 40.789707))"
1336,1337,"POLYGON ((-73.9666884 40.7980952, -73.9666884 40.8064834, -73.9555768 40.8064834, -73.9555768 40.7980952, -73.9666884 40.7980952))"
1337,1338,"POLYGON ((-73.9666884 40.8064834, -73.9666884 40.8148716, -73.9555768 40.8148716, -73.9555768 40.8064834, -73.9666884 40.8064834))"
1338,1339,"POLYGON ((-73.9666884 40.8148716, -73.9666884 40.8232598, -73.9555768 40.8232598, -73.9555768 40.8148716, -73.9666884 40.8148716))"
1375,1376,"POLYGON ((-73.9555768 40.705825, -73.9555768 40.7142132, -73.9444652 40.7142132, -73.9444652 40.705825, -73.9555768 40.705825))"
1376,1377,"POLYGON ((-73.9555768 40.7142132, -73.9555768 40.7226014, -73.9444652 40.7226014, -73.9444652 40.7142132, -73.9555768 40.7142132))"
1377,1378,"POLYGON ((-73.9555768 40.7226014, -73.9555768 40.7309896, -73.9444652 40.7309896, -73.9444652 40.7226014, -73.9555768 40.7226014))"
1379,1380,"POLYGON ((-73.9555768 40.7393778, -73.9555768 40.747766, -73.9444652 40.747766, -73.9444652 40.7393778, -73.9555768 40.7393778))"
1381,1382,"POLYGON ((-73.9555768 40.7561542, -73.9555768 40.7645424, -73.9444652 40.7645424, -73.9444652 40.7561542, -73.9555768 40.7561542))"
1382,1383,"POLYGON ((-73.9555768 40.7645424, -73.9555768 40.7729306, -73.9444652 40.7729306, -73.9444652 40.7645424, -73.9555768 40.7645424))"
1383,1384,"POLYGON ((-73.9555768 40.7729306, -73.9555768 40.7813188, -73.9444652 40.7813188, -73.9444652 40.7729306, -73.9555768 40.7729306))"
1384,1385,"POLYGON ((-73.9555768 40.7813188, -73.9555768 40.789707, -73.9444652 40.789707, -73.9444652 40.7813188, -73.9555768 40.7813188))"
1385,1386,"POLYGON ((-73.9555768 40.789707, -73.9555768 40.7980952, -73.9444652 40.7980952, -73.9444652 40.789707, -73.9555768 40.789707))"
1386,1387,"POLYGON ((-73.9555768 40.7980952, -73.9555768 40.8064834, -73.9444652 40.8064834, -73.9444652 40.7980952, -73.9555768 40.7980952))"
1387,1388,"POLYGON ((-73.9555768 40.8064834, -73.9555768 40.8148716, -73.9444652 40.8148716, -73.9444652 40.8064834, -73.9555768 40.8064834))"
1388,1389,"POLYGON ((-73.9555768 40.8148716, -73.9555768 40.8232598, -73.9444652 40.8232598, -73.9444652 40.8148716, -73.9555768 40.8148716))"
1389,1390,"POLYGON ((-73.9555768 40.8232598, -73.9555768 40.831648, -73.9444652 40.831648, -73.9444652 40.8232598, -73.9555768 40.8232598))"
1425,1426,"POLYGON ((-73.9444652 40.705825, -73.9444652 40.7142132, -73.9333536 40.7142132, -73.9333536 40.705825, -73.9444652 40.705825))"
1430,1431,"POLYGON ((-73.9444652 40.747766, -73.9444652 40.7561542, -73.9333536 40.7561542, -73.9333536 40.747766, -73.9444652 40.747766))"
1433,1434,"POLYGON ((-73.9444652 40.7729306, -73.9444652 40.7813188, -73.9333536 40.7813188, -73.9333536 40.7729306, -73.9444652 40.7729306))"
1434,1435,"POLYGON ((-73.9444652 40.7813188, -73.9444652 40.789707, -73.9333536 40.789707, -73.9333536 40.7813188, -73.9444652 40.7813188))"
1435,1436,"POLYGON ((-73.9444652 40.789707, -73.9444652 40.7980952, -73.9333536 40.7980952, -73.9333536 40.789707, -73.9444652 40.789707))"
1436,1437,"POLYGON ((-73.9444652 40.7980952, -73.9444652 40.8064834, -73.9333536 40.8064834, -73.9333536 40.7980952, -73.9444652 40.7980952))"
1437,1438,"POLYGON ((-73.9444652 40.8064834, -73.9444652 40.8148716, -73.9333536 40.8148716, -73.9333536 40.8064834, -73.9444652 40.8064834))"
1438,1439,"POLYGON ((-73.9444652 40.8148716, -73.9444652 40.8232598, -73.9333536 40.8232598, -73.9333536 40.8148716, -73.9444652 40.8148716))"
1440,1441,"POLYGON ((-73.9444652 40.831648, -73.9444652 40.8400362, -73.9333536 40.8400362, -73.9333536 40.831648, -73.9444652 40.831648))"
1441,1442,"POLYGON ((-73.9444652 40.8400362, -73.9444652 40.8484244, -73.9333536 40.8484244, -73.9333536 40.8400362, -73.9444652 40.8400362))"
1479,1480,"POLYGON ((-73.9333536 40.7393778, -73.9333536 40.747766, -73.922242 40.747766, -73.922242 40.7393778, -73.9333536 40.7393778))"
1481,1482,"POLYGON ((-73.9333536 40.7561542, -73.9333536 40.7645424, -73.922242 40.7645424, -73.922242 40.7561542, -73.9333536 40.7561542))"
1482,1483,"POLYGON ((-73.9333536 40.7645424, -73.9333536 40.7729306, -73.922242 40.7729306, -73.922242 40.7645424, -73.9333536 40.7645424))"
1529,1530,"POLYGON ((-73.922242 40.7393778, -73.922242 40.747766, -73.9111304 40.747766, -73.9111304 40.7393778, -73.922242 40.7393778))"
1531,1532,"POLYGON ((-73.922242 40.7561542, -73.922242 40.7645424, -73.9111304 40.7645424, -73.9111304 40.7561542, -73.922242 40.7561542))"
1532,1533,"POLYGON ((-73.922242 40.7645424, -73.922242 40.7729306, -73.9111304 40.7729306, -73.9111304 40.7645424, -73.922242 40.7645424))"
1579,1580,"POLYGON ((-73.9111304 40.7393778, -73.9111304 40.747766, -73.9000188 40.747766, -73.9000188 40.7393778, -73.9111304 40.7393778))"
1629,1630,"POLYGON ((-73.9000188 40.7393778, -73.9000188 40.747766, -73.8889072 40.747766, -73.8889072 40.7393778, -73.9000188 40.7393778))"
1683,1684,"POLYGON ((-73.8889072 40.7729306, -73.8889072 40.7813188, -73.8777956 40.7813188, -73.8777956 40.7729306, -73.8889072 40.7729306))"
1732,1733,"POLYGON ((-73.8777956 40.7645424, -73.8777956 40.7729306, -73.866684 40.7729306, -73.866684 40.7645424, -73.8777956 40.7645424))"
1733,1734,"POLYGON ((-73.8777956 40.7729306, -73.8777956 40.7813188, -73.866684 40.7813188, -73.866684 40.7729306, -73.8777956 40.7729306))"
1782,1783,"POLYGON ((-73.866684 40.7645424, -73.866684 40.7729306, -73.8555724 40.7729306, -73.8555724 40.7645424, -73.866684 40.7645424))"
2067,2068,"POLYGON ((-73.8000144 40.6387194, -73.8000144 40.6471076, -73.7889028 40.6471076, -73.7889028 40.6387194, -73.8000144 40.6387194))"
2068,2069,"POLYGON ((-73.8000144 40.6471076, -73.8000144 40.6554958, -73.7889028 40.6554958, -73.7889028 40.6471076, -73.8000144 40.6471076))"
2117,2118,"POLYGON ((-73.7889028 40.6387194, -73.7889028 40.6471076, -73.7777912 40.6471076, -73.7777912 40.6387194, -73.7889028 40.6387194))"
2118,2119,"POLYGON ((-73.7889028 40.6471076, -73.7889028 40.6554958, -73.7777912 40.6554958, -73.7777912 40.6471076, -73.7889028 40.6471076))"
2167,2168,"POLYGON ((-73.7777912 40.6387194, -73.7777912 40.6471076, -73.7666796 40.6471076, -73.7666796 40.6387194, -73.7777912 40.6387194))"
